game_date,player_name,events,hc_x,hc_y,
5/17/08,Joey Votto,field_out,151.61,160.64,0.786159813
5/14/08,Joey Votto,field_out,145.58,159.64,0.78407578
6/15/08,Joey Votto,single,125.5,127.51,0.782373922
6/11/08,Joey Votto,field_out,50.2,83.33,0.782320875
6/9/08,Joey Votto,sac_fly,60.24,52.21,0.780176077
7/10/08,Joey Votto,single,92.37,68.27,0.778562395
8/21/08,Joey Votto,single,81.33,118.47,0.771945584
6/11/08,Joey Votto,field_out,154.62,163.65,0.767711423
9/12/08,Joey Votto,field_out,213.86,78.31,0.765321553
8/28/08,Joey Votto,grounded_into_double_play,148.59,169.68,0.758237409
9/26/08,Joey Votto,single,138.55,78.31,0.756671152
4/22/08,Joey Votto,single,68.27,131.53,0.756164945
5/30/08,Joey Votto,field_out,140.56,148.59,0.753970163
9/3/08,Joey Votto,triple,209.84,89.36,0.752183711
7/1/08,Joey Votto,field_out,150.6,149.6,0.748120408
5/20/08,Joey Votto,field_out,64.26,98.39,0.743660984
7/2/08,Joey Votto,field_out,154.62,163.65,0.740643979
4/26/08,Joey Votto,double,197.79,115.46,0.739335994
9/25/08,Joey Votto,field_out,142.57,158.63,0.736262039
5/18/08,Joey Votto,home_run,70.28,23.09,0.735807489
4/21/08,Joey Votto,home_run,124.5,2.01,0.726608324
9/21/08,Joey Votto,field_out,89.36,82.33,0.725252913
9/20/08,Joey Votto,single,75.3,116.47,0.72391047
9/17/08,Joey Votto,field_out,90.36,54.22,0.723637081
5/27/08,Joey Votto,single,168.67,122.49,0.722464008
9/2/08,Joey Votto,field_out,80.32,107.43,0.72014097
8/16/08,Joey Votto,field_out,71.29,79.32,0.716733997
6/6/08,Joey Votto,force_out,138.55,150.6,0.714947612
6/2/08,Joey Votto,field_out,125.5,140.56,0.709595303
5/16/08,Joey Votto,double,54.22,117.47,0.708945232
9/4/08,Joey Votto,home_run,48.19,41.16,0.703223423
7/6/08,Joey Votto,field_error,135.54,152.61,0.699139703
5/5/08,Joey Votto,field_error,144.58,148.59,0.695978513
6/22/08,Joey Votto,single,112.45,177.71,0.693568747
5/27/08,Joey Votto,single,86.35,106.43,0.688545102
9/27/08,Joey Votto,field_out,152.61,154.62,0.687450037
6/21/08,Joey Votto,single,87.35,117.47,0.687069652
4/21/08,Joey Votto,grounded_into_double_play,123.49,174.7,0.6789976
5/10/08,Joey Votto,field_out,166.67,89.36,0.676979347
5/23/08,Joey Votto,single,86.35,99.4,0.67562385
5/3/08,Joey Votto,field_out,113.45,145.58,0.669331012
4/9/08,Joey Votto,field_out,83.33,87.35,0.668353012
5/7/08,Joey Votto,field_out,112.45,154.62,0.668264293
7/4/08,Joey Votto,single,111.45,93.37,0.666059894
7/25/08,Joey Votto,single,167.67,114.46,0.664918021
7/28/08,Joey Votto,field_out,150.6,165.66,0.661899492
9/25/08,Joey Votto,field_out,108.43,170.68,0.655938872
9/8/08,Joey Votto,field_out,139.56,152.61,0.649056921
6/5/08,Joey Votto,field_out,65.26,104.42,0.646923104
8/23/08,Joey Votto,single,120.48,109.44,0.643718031
6/14/08,Joey Votto,grounded_into_double_play,148.59,165.66,0.64276921
6/13/08,Joey Votto,double,208.84,92.37,0.642436181
8/31/08,Joey Votto,single,151.61,77.31,0.635396232
4/29/08,Joey Votto,field_out,113.45,149.6,0.634875751
5/25/08,Joey Votto,field_out,59.24,116.47,0.63381933
6/13/08,Joey Votto,field_out,151.61,169.68,0.63250481
4/16/08,Joey Votto,double,78.31,54.22,0.631471974
4/10/08,Joey Votto,field_out,152.61,80.32,0.630493064
8/3/08,Joey Votto,home_run,139.56,17.07,0.627815226
5/5/08,Joey Votto,field_out,129.52,179.72,0.62719097
6/20/08,Joey Votto,single,101.41,94.38,0.626046231
7/9/08,Joey Votto,field_out,148.59,70.28,0.624890287
6/3/08,Joey Votto,field_out,111.45,56.22,0.624567569
7/18/08,Joey Votto,field_out,144.58,149.6,0.622942608
5/10/08,Joey Votto,double,74.3,80.32,0.620876732
5/25/08,Joey Votto,single,160.64,76.31,0.61663269
9/24/08,Joey Votto,field_out,61.24,119.48,0.616279706
8/21/08,Joey Votto,single,172.69,122.49,0.61156282
5/24/08,Joey Votto,field_out,102.41,42.17,0.610644038
5/27/08,Joey Votto,field_out,143.57,155.62,0.610056127
8/3/08,Joey Votto,single,191.77,109.44,0.60823056
5/27/08,Joey Votto,field_out,150.6,164.66,0.606851449
9/6/08,Joey Votto,field_out,124.5,69.28,0.601993784
4/17/08,Joey Votto,double,163.65,42.17,0.601744804
4/20/08,Joey Votto,field_out,64.26,67.27,0.599679369
6/27/08,Joey Votto,field_out,45.18,111.45,0.599323969
8/31/08,Joey Votto,double,64.26,90.36,0.596707346
8/5/08,Joey Votto,field_out,146.59,163.65,0.59622582
6/7/08,Joey Votto,single,144.58,86.35,0.589939502
5/21/08,Joey Votto,field_out,118.47,150.6,0.587531575
5/17/08,Joey Votto,field_out,142.57,149.6,0.579779878
6/19/08,Joey Votto,field_out,119.48,89.36,0.579619138
4/26/08,Joey Votto,field_out,118.47,53.21,0.577918848
5/19/08,Joey Votto,field_out,115.46,165.66,0.576186346
8/6/08,Joey Votto,field_out,118.47,150.6,0.576015637
7/23/08,Joey Votto,field_out,127.51,178.71,0.575978711
4/12/08,Joey Votto,single,151.61,91.37,0.575113317
9/18/08,Joey Votto,double,202.81,116.47,0.574196891
7/9/08,Joey Votto,field_out,142.57,149.6,0.573053839
5/7/08,Joey Votto,home_run,220.88,60.24,0.571733515
8/20/08,Joey Votto,field_out,106.43,167.67,0.571216522
9/19/08,Joey Votto,field_out,139.56,146.59,0.570463804
8/22/08,Joey Votto,single,164.66,112.45,0.5679475
7/18/08,Joey Votto,field_out,123.49,41.16,0.558500106
8/5/08,Joey Votto,field_out,143.57,154.62,0.555412485
7/3/08,Joey Votto,field_out,59.24,81.33,0.552284202
7/9/08,Joey Votto,field_out,114.46,155.62,0.551817802
8/24/08,Joey Votto,field_out,112.45,152.61,0.54863582
4/28/08,Joey Votto,field_out,91.37,93.37,0.548479525
8/23/08,Joey Votto,single,162.65,131.53,0.547172065
7/23/08,Joey Votto,force_out,113.45,154.62,0.546467029
8/2/08,Joey Votto,field_out,100.4,36.14,0.54629592
9/27/08,Joey Votto,double,64.26,147.59,0.540672314
7/27/08,Joey Votto,single,118.47,92.37,0.539626513
5/30/08,Joey Votto,single,122.49,93.37,0.538833705
8/8/08,Joey Votto,field_out,144.58,147.59,0.536103819
7/2/08,Joey Votto,single,152.61,95.38,0.531927685
4/15/08,Joey Votto,grounded_into_double_play,125.5,177.71,0.529929684
5/22/08,Joey Votto,single,119.48,90.36,0.529055165
7/8/08,Joey Votto,field_out,151.61,154.62,0.528296888
9/7/08,Joey Votto,field_out,70.28,107.43,0.527404518
5/5/08,Joey Votto,field_out,142.57,177.71,0.526370249
9/3/08,Joey Votto,home_run,228.92,92.37,0.524872004
9/25/08,Joey Votto,field_out,103.41,165.66,0.523791248
7/17/08,Joey Votto,single,130.52,94.38,0.522310626
9/14/08,Joey Votto,field_out,50.2,130.52,0.520825116
8/20/08,Joey Votto,field_out,140.56,150.6,0.519607683
7/21/08,Joey Votto,single,170.68,121.49,0.519180138
5/6/08,Joey Votto,single,113.45,180.72,0.508514697
7/23/08,Joey Votto,field_out,122.49,145.58,0.508197895
4/4/08,Joey Votto,single,84.34,107.43,0.507500687
9/8/08,Joey Votto,home_run,60.24,42.17,0.506087746
5/16/08,Joey Votto,field_out,144.58,152.61,0.504875931
4/27/08,Joey Votto,single,172.69,99.4,0.504182274
9/2/08,Joey Votto,force_out,143.57,148.59,0.503541732
6/28/08,Joey Votto,field_out,147.59,158.63,0.502970975
4/4/08,Joey Votto,field_out,123.49,181.73,0.502934687
7/10/08,Joey Votto,home_run,59.24,39.16,0.497805479
7/5/08,Joey Votto,field_out,43.17,87.35,0.496922094
5/28/08,Joey Votto,single,119.48,99.4,0.496563942
5/5/08,Joey Votto,field_out,136.55,151.61,0.494697804
6/4/08,Joey Votto,double,96.39,82.33,0.489852913
9/8/08,Joey Votto,field_out,106.43,158.63,0.489462507
7/1/08,Joey Votto,double,151.61,46.18,0.487830203
8/20/08,Joey Votto,field_out,147.59,155.62,0.484218207
8/8/08,Joey Votto,field_out,142.57,152.61,0.482644508
8/30/08,Joey Votto,field_out,141.57,156.63,0.481663748
6/1/08,Joey Votto,field_out,146.59,146.59,0.480363046
9/19/08,Joey Votto,field_out,145.58,177.71,0.477413529
4/19/08,Joey Votto,field_out,155.62,158.63,0.476635495
4/27/08,Joey Votto,force_out,110.44,167.67,0.472980582
7/29/08,Joey Votto,double,195.78,95.38,0.469174619
5/14/08,Joey Votto,field_out,152.61,161.65,0.466162786
8/17/08,Joey Votto,single,160.64,114.46,0.46531466
